id	race	gender	sex.worker	pimp	sex.work.client	drug.dealer	drug.cook	thief	retired	housewife	disabled	unemployed	homeless
1	4	1	1	0	0	0	0	0	0	0	0	1	0
2	4	1	1	0	0	0	0	0	0	1	0	1	0
3	4	0	0	0	1	0	0	0	1	0	0	0	0
4	5	1	0	0	0	0	0	0	0	0	0	0	0
5	4	0	0	0	1	1	1	0	0	0	0	0	0
6	2	0	0	0	1	0	0	0	0	0	0	0	0
7	4	0	0	0	0	0	0	0	0	0	0	0	0
8	4	0	0	0	0	0	0	0	0	0	0	0	0
9	4	1	0	0	0	0	0	0	0	0	0	1	0
10	4	1	1	0	0	1	0	0	0	0	0	1	0
11	4	0	0	0	1	0	0	0	0	0	0	0	0
12	4	0	0	0	1	0	0	0	0	0	0	0	0
13	4	1	0	0	0	1	0	0	0	0	0	1	0
14	4	1	0	0	0	0	0	0	0	0	0	1	0
15	4	0	0	0	0	0	0	0	1	0	0	0	0
16	2	1	1	0	0	0	0	1	0	0	0	1	0
17	5	1	1	0	0	0	0	0	0	1	0	0	0
18	4	0	0	0	0	0	0	0	0	0	0	0	0
19	4	0	0	0	1	0	0	0	0	0	0	0	0
20	2	1	1	0	0	0	0	0	0	0	0	1	0
21	2	1	1	0	0	0	0	0	0	0	0	0	0
22	4	0	0	0	1	0	0	0	0	0	0	0	0
23	2	1	1	0	0	0	0	0	0	0	0	1	0
24	4	1	1	0	0	0	0	0	0	0	0	0	0
25	2	1	1	0	0	1	0	0	0	0	0	1	0
26	2	0	0	0	1	0	0	0	0	0	0	1	0
27	4	0	0	0	1	0	0	0	0	0	0	0	0
28	4	0	0	0	1	0	0	0	0	0	0	1	0
29	4	1	1	0	0	0	0	0	0	0	0	1	0
30	4	1	0	0	0	0	0	0	0	0	0	0	0
31	4	1	0	0	0	0	0	0	0	0	1	0	0
32	4	1	1	0	0	0	0	0	0	0	0	0	0
33	4	0	0	0	1	0	0	0	0	0	0	0	1
34	4	0	0	0	1	0	0	0	0	0	0	1	0
35	2	1	1	0	0	0	0	0	0	1	0	0	0
36	4	0	0	0	1	0	0	0	0	0	0	0	0
37	4	0	0	0	1	0	0	0	0	0	0	0	0
38	4	0	0	0	1	0	0	0	0	0	0	1	0
39	4	1	1	0	0	1	0	0	0	0	0	0	0
40	4	1	1	0	0	0	0	0	0	0	1	1	0
41	4	1	1	0	0	1	0	0	0	0	0	1	0
42	4	0	0	0	1	0	0	0	0	0	0	1	1
43	2	1	1	0	0	0	0	0	0	0	0	0	0
44	4	0	0	0	1	0	0	0	0	0	0	0	0
45	4	0	0	0	1	0	0	0	0	0	0	1	0
46	4	1	1	0	0	0	0	0	0	0	0	1	0
47	4	1	1	0	0	0	0	0	0	0	0	0	0
48	4	0	0	0	1	0	0	0	0	0	0	0	0
49	2	1	1	0	0	0	0	0	0	0	1	1	0
50	4	1	1	0	0	0	0	0	0	0	0	0	0
51	2	1	1	0	0	0	0	0	0	0	0	0	0
52	4	1	1	0	0	0	0	0	0	0	0	0	0
53	4	1	1	0	0	0	0	0	0	0	1	1	0
54	4	0	0	0	1	0	0	0	0	0	0	0	0
55	2	1	1	0	0	1	0	0	0	0	0	1	0
56	4	0	0	0	1	0	0	0	0	0	0	0	0
57	4	1	1	0	0	0	0	0	0	0	0	0	0
58	2	1	1	0	0	0	0	0	0	0	0	1	0
59	4	1	1	0	0	0	0	0	0	0	0	1	0
60	2	0	0	0	1	0	0	0	0	0	0	0	0
61	4	0	0	0	0	0	0	0	0	0	0	0	0
62	4	1	1	0	0	1	0	0	0	0	0	1	0
63	4	0	0	0	1	0	0	0	0	0	0	1	0
64	4	1	1	0	0	0	0	0	0	0	0	1	0
65	3	1	1	0	0	0	0	0	0	0	0	0	0
66	4	0	0	0	0	0	0	0	0	0	0	0	0
67	2	1	1	0	0	0	0	0	0	0	0	0	0
68	2	1	1	0	0	0	0	0	0	0	0	1	0
69	4	1	1	0	0	0	0	0	0	0	0	1	0
70	4	0	0	0	1	0	0	0	0	0	0	0	0
71	4	1	1	0	0	0	0	0	0	0	0	1	0
72	4	0	0	0	1	0	0	0	0	0	0	0	0
73	4	0	0	1	0	0	0	0	0	0	0	0	0
74	2	1	1	0	0	0	0	0	0	0	0	1	0
75	4	1	1	0	0	1	0	0	0	0	0	1	0
76	4	1	1	0	0	0	0	0	0	0	0	1	0
77	4	1	1	0	0	0	0	0	0	0	0	0	0
78	4	0	0	0	1	0	0	0	0	0	0	1	0
79	4	0	0	0	1	0	0	0	0	0	0	1	0
80	4	1	0	0	0	0	0	0	0	1	0	1	0
81	4	0	0	0	1	0	0	0	0	0	0	0	0
82	5	1	1	0	0	1	0	0	0	0	1	1	0
83	4	1	0	0	0	1	0	0	0	1	0	1	0
84	4	1	1	0	0	0	0	0	0	0	0	1	0
85	2	0	0	0	1	0	0	0	0	0	0	0	0
86	4	0	0	0	0	0	0	0	0	0	0	1	0
87	4	1	0	0	0	0	0	0	0	0	0	0	0
88	2	0	0	0	1	0	0	0	0	0	0	0	0
89	4	1	1	0	0	0	0	0	0	0	0	1	0
90	2	0	0	0	1	0	0	0	0	0	0	0	0
91	4	1	1	0	0	0	0	0	0	0	0	1	0
92	1	1	0	0	0	0	0	0	0	0	0	1	0
93	4	0	0	0	0	0	0	0	0	0	0	0	0
94	4	1	0	0	0	0	0	0	0	0	0	0	0
95	4	0	0	0	1	0	0	0	0	0	0	0	0
96	4	1	1	0	0	0	0	0	0	0	0	0	0
97	4	1	0	0	0	0	0	0	0	0	0	0	0
98	5	1	1	0	0	0	0	0	0	0	0	0	0
99	4	1	1	0	0	0	0	0	0	0	0	0	0
100	2	0	0	0	1	1	0	0	0	0	0	1	0
101	4	0	0	0	0	0	0	0	0	0	0	1	0
102	4	1	1	0	0	0	0	0	0	0	0	0	0
103	4	1	0	0	0	1	0	0	0	0	0	1	0
104	2	0	0	0	1	0	0	0	0	0	0	1	1
105	4	1	0	0	0	1	0	0	0	0	0	1	0
106	4	0	0	0	1	0	0	0	0	0	0	0	0
107	2	0	0	1	0	0	0	0	0	0	0	0	0
108	4	0	0	0	1	0	0	0	0	0	0	1	0
109	1	1	0	0	0	0	0	0	0	0	0	0	0
110	4	1	1	0	0	0	0	0	0	1	0	1	0
111	4	0	0	0	0	0	0	0	0	0	0	1	0
112	2	0	0	0	0	0	0	0	0	0	0	1	0
113	4	1	0	0	0	0	0	0	0	0	0	0	0
114	4	0	0	0	1	0	0	0	0	0	0	0	0
115	4	1	1	0	0	0	0	0	0	0	0	1	0
116	4	0	0	1	0	1	0	0	0	0	0	1	0
117	4	0	0	0	0	0	0	0	0	0	0	0	0
118	2	0	0	0	1	0	0	0	0	0	0	0	0
119	2	0	0	1	0	0	0	0	0	0	0	1	0
120	4	1	0	0	0	0	0	0	0	1	0	1	0
121	2	0	0	1	0	0	0	0	0	0	0	1	0
122	4	1	1	0	0	0	0	0	0	0	0	1	0
123	4	0	0	0	1	0	0	0	0	0	0	0	0
124	4	0	0	0	0	0	0	0	0	0	0	0	0
125	4	1	0	0	0	0	0	0	0	0	0	0	0
126	4	0	0	0	0	0	0	0	0	0	0	1	0
127	4	0	0	0	1	0	0	0	0	0	0	1	0
128	4	1	0	0	0	0	0	0	0	0	0	1	0
129	4	0	0	0	1	0	0	0	1	0	0	0	0
130	2	0	0	0	1	1	0	0	0	0	0	1	0
131	4	1	0	0	0	0	0	0	0	1	0	0	0
132	4	1	1	0	0	0	0	0	0	0	0	1	1
133	4	0	0	0	1	1	0	0	0	0	0	1	0
134	2	1	1	0	0	1	0	0	0	0	1	1	0
135	4	0	0	0	0	0	0	0	0	0	0	0	0
136	4	0	0	0	1	0	0	0	0	0	0	0	0
137	4	1	1	0	0	0	0	0	0	1	0	0	0
138	2	1	1	0	0	0	0	0	0	0	0	1	1
139	4	1	1	0	0	0	0	0	0	0	0	0	1
140	2	0	0	0	1	0	0	0	0	0	0	0	0
141	2	1	0	0	0	0	0	0	0	0	0	0	0
142	2	0	0	1	0	1	0	0	0	0	0	1	0
143	4	1	0	0	0	0	0	0	0	0	0	1	0
144	2	0	0	0	0	0	0	0	0	0	0	1	0
145	2	0	0	1	0	1	0	0	0	0	0	1	0
146	4	1	1	0	0	1	0	0	0	0	0	1	0
147	2	1	1	0	0	0	0	0	0	0	0	0	0
148	4	0	0	0	1	0	0	0	0	0	0	0	0
149	4	0	0	0	1	0	0	0	0	0	0	0	0
150	4	1	1	0	0	0	0	0	0	0	0	1	0
151	2	1	1	0	0	0	0	0	0	0	0	1	1
152	2	1	1	0	0	0	1	0	0	0	0	1	0
153	4	0	0	0	0	0	0	0	0	0	0	0	0
154	4	0	0	0	1	0	0	0	0	0	0	0	0
155	4	0	0	0	1	0	0	0	0	0	0	0	0
156	2	1	0	0	0	1	0	0	0	0	0	1	0
157	4	1	0	0	0	0	0	0	0	1	0	0	0
158	2	1	1	0	0	0	0	0	0	0	0	0	0
159	4	1	0	0	0	0	0	0	0	1	0	1	0
160	5	0	0	0	1	0	0	0	0	0	1	1	0
161	2	1	1	0	0	1	0	0	0	0	0	1	0
162	4	0	0	0	0	0	0	0	0	0	0	0	0
163	2	1	1	0	0	0	0	0	0	0	0	1	0
164	1	1	1	0	0	0	0	0	0	0	0	0	0
165	2	0	0	0	1	0	0	0	0	0	0	1	0
166	2	0	0	0	1	0	0	0	0	0	0	0	0
167	4	0	0	0	0	0	0	0	0	0	0	0	0
168	4	0	0	0	1	0	0	0	0	0	0	1	0
169	4	1	1	0	0	0	0	0	0	0	0	1	0
170	4	0	0	0	0	0	0	0	0	0	1	1	0
171	4	1	1	0	0	0	0	0	0	0	0	1	0
172	4	1	0	0	0	0	0	0	0	1	0	0	0
173	4	0	0	1	0	1	0	0	0	0	0	1	0
174	4	0	0	0	1	0	0	0	0	0	0	0	0
175	2	0	0	0	1	0	0	0	0	0	0	0	0
176	4	0	0	0	1	1	0	0	0	0	0	1	0
177	3	1	1	0	0	0	0	0	0	0	0	1	0
178	4	0	0	0	0	0	0	0	0	0	0	0	0
179	4	1	0	0	0	1	0	0	0	0	0	0	0
180	4	1	0	0	0	0	0	0	0	0	0	1	0
181	4	1	0	0	0	1	0	1	0	0	1	1	0
182	4	0	0	0	1	0	0	0	1	0	1	1	0
183	2	1	1	0	0	0	0	0	0	0	0	0	1
184	2	0	0	0	1	0	0	0	0	0	0	1	0
185	4	0	0	0	0	0	0	0	0	0	0	0	0
186	4	1	0	0	0	0	0	0	0	1	1	0	0
187	2	1	1	0	0	0	0	0	0	0	0	0	1
188	4	0	0	0	1	0	0	0	0	0	0	0	0
189	4	0	0	0	0	1	0	0	0	0	1	1	0
